sfperiod;sympersf;nharqproc;txpower;pacotes;delay;throughput
150;32;20;20;221,2221001;1,272680968;9,304019128
150;32;20;25;248,2061985;0,587399462;9,432057282
150;32;20;30;229,8509815;0,7809233;9,388397099
150;32;20;35;203,5083385;0,66372648;9,77671335
150;32;20;40;218,7652466;1,391347031;9,253466069
150;32;20;45;227,3614462;0,667958093;9,271980835
150;32;20;50;142,2795275;1,013286828;10,32245834
150;32;35;5;60,73576097;1,282723983;10,97449094
150;32;35;10;209,1789368;1,335507978;9,699584955
150;32;35;15;223,3478238;0,480948;9,673642829
150;32;35;20;220,1236263;0,63342646;9,855033082
150;32;35;25;208,9813661;1,226141954;9,41340586
150;32;35;30;219,0540987;0,669336893;9,152305289
150;32;35;35;202,2496767;1,354786866;9,097246286
150;32;35;40;207,7259854;1,262982372;9,130786977
150;32;35;45;225,0398121;0,890016649;9,928110595
150;32;35;50;240,7002305;1,66265377;9,159413678
150;40;5;5;80,92025493;0,712922997;10,4391319
150;40;5;10;221,8426845;0,901912711;9,165612861
150;40;5;15;232,9561226;0,972210365;9,202765361
150;40;5;20;212,5109097;0,522906669;9,257497134
150;40;5;25;211,4365942;0,882415498;9,516258821
150;40;5;30;210,5678103;0,610342677;9,977352528
150;40;5;35;234,1240305;1,426003732;9,370832901
150;40;5;40;239,8219996;1,230607941;9,177734521
150;40;5;45;223,9308841;0,988917313;9,109017698
150;40;5;50;139,7816795;0,72831474;9,960327022
150;40;20;5;76,22146529;1,024345621;10,78594322
150;40;20;10;211,5284058;0,933648919;9,903313597
150;40;20;15;221,0423783;1,084289738;9,523247941
150;40;20;20;211,6126985;1,422677636;10,03699175
150;40;20;25;221,9421502;1,258008472;9,538434939
150;40;20;30;220,2684962;1,250562087;9,855495183
150;40;20;35;215,072366;0,672616206;9,36551006
150;40;20;40;202,2288271;0,784810588;9,98769144
150;40;20;45;233,6705524;0,556725482;9,954388037
150;40;20;50;144,0214351;1,446419726;9,780610687
150;40;35;5;77,11056882;0,712572139;10,28935158
150;40;35;10;219,3448824;0,57451114;10,00162966
150;40;35;15;218,0794851;1,004303578;9,309962174
150;40;35;20;223,1593032;1,347661837;9,333879221
150;40;35;25;238,8085918;0,607260394;9,633319771
150;40;35;30;220,6687468;0,559060388;9,314591208
150;40;35;35;240,1110043;1,277826824;9,091715165
150;40;35;40;219,9765655;0,998739872;9,460187339
150;40;35;45;205,3876511;1,245536982;9,954712185
150;40;35;50;244,5320579;1,63412901;9,814131961
200;16;5;5;249,0808859;1,733816253;9,270464489
200;16;5;10;226,113397;1,249590533;9,908153976
200;16;5;15;245,618136;1,252255683;9,396622099
200;16;5;20;212,9709504;1,153675921;9,084095383
200;16;5;25;216,3167109;1,80613697;9,377301083
200;16;5;30;234,2957741;1,257167195;9,329339417
200;16;5;35;223,1436198;2,010181681;10,07507669
200;16;5;40;244,1679483;1,601361037;9,3304376
200;16;5;45;230,5401655;1,926542406;9,608720612
200;16;5;50;214,8773712;1,716593893;9,860972195
200;16;20;5;230,9537842;1,645257713;9,876918751
200;16;20;10;203,8724834;1,504226863;9,851011935
200;16;20;15;201,7353356;1,684978453;9,654229101
200;16;20;20;212,0607883;2,115194991;9,509458659
200;16;20;25;220,3592953;1,368788505;9,575207779
200;16;20;30;202,419803;2,059199958;9,461920167
200;16;20;35;246,8601775;1,612903937;9,37913925
200;16;20;40;203,9527579;1,43104106;9,347019693
200;16;20;45;211,9077373;1,297270606;9,615476393
200;16;20;50;239,4637978;1,380701853;9,880770862
200;16;35;5;221,6766095;1,319019175;9,133739427
200;16;35;10;236,9534149;1,678225211;9,630812926
200;16;35;15;213,6846206;1,602141929;9,538334576
200;16;35;20;214,9769659;1,254395339;10,05396995
200;16;35;25;203,0478512;1,522198941;9,743983692
200;16;35;30;238,1153151;1,335547444;10,03116758
200;16;35;35;247,8323966;1,445459287;9,679918384
200;16;35;40;204,8909913;1,875879393;9,394820475
200;16;35;45;202,8103656;1,159147612;9,834252945
200;16;35;50;115,4096817;1,686840772;8,109718491
200;24;5;5;78,71956702;1,684658217;7,206284401
200;24;5;10;80,69846937;1,115640162;7,110688476
200;24;5;15;76,88727501;1,136834925;7,218338643
200;24;5;20;74,94058586;1,761870723;7,368004242
200;24;5;25;87,65828445;1,687022125;6,836831755
200;24;5;30;75,41779226;1,437567213;7,355036216
200;24;5;35;89,22083825;1,468874023;6,691391259
200;24;5;40;93,96490757;1,280135223;6,983864521
200;24;5;45;53,70561512;0,870921291;6,638839076
200;24;5;50;58,04531207;1,006566179;7,056114983
200;24;20;5;57,95053764;1,719928711;6,649105126
200;24;20;10;79,13662472;0,805562637;7,307770138
200;24;20;15;91,2654389;0,910378398;7,132739939
200;24;20;20;95,23805235;1,327025707;7,338068232
200;24;20;25;65,74192139;1,47259585;7,034746363
200;24;20;30;53,64719139;1,795852174;6,879747989
200;24;20;35;83,60908518;1,706833859;7,02539482
200;24;20;40;65,23405632;1,763462457;6,815658279
200;24;20;45;99,75967056;1,530496713;7,189186438
200;24;20;50;59,28495358;1,676743995;7,002979935
200;24;35;5;78,0708938;1,563373226;6,668844209
200;24;35;10;90,5294845;0,986144348;6,976206385
200;24;35;15;91,91728684;0,98984231;7,258759992
200;24;35;20;61,56295399;1,699149814;7,490450114
200;24;35;25;65,18820371;0,913466475;6,834884163
200;24;35;30;71,23076129;0,946854237;7,396063074
200;24;35;35;54,67184298;1,369454514;6,884611965
200;24;35;40;58,42127422;1,534973371;6,779476336
200;24;35;45;81,07310744;1,6264112;7,314618906
200;24;35;50;70,79902452;1,470677823;6,961309718
200;32;5;5;58,49241537;0,997637681;7,062719042
200;32;5;10;83,12513131;0,320308935;7,413531622
200;32;5;15;94,02493222;0,915535779;7,47696349
200;32;5;20;62,19514241;1,172033569;7,22974881
200;32;5;25;61,24788112;0,78128702;6,908462949
200;32;5;30;78,55187566;1,047960459;7,231932207
200;32;5;35;94,1786599;0,903178666;6,637474612
200;32;5;40;50,22661174;0,333697552;6,94074423
200;32;5;45;57,83535306;0,368454368;6,847241583
200;32;5;50;91,8772922;0,798592697;6,852241885
200;32;20;5;67,03241434;0,906827815;7,429351793
200;32;20;10;74,45428972;0,970956262;6,927696161
200;32;20;15;83,14232056;1,202218954;6,6636732
200;32;20;20;78,34004197;0,449311872;6,850572308
200;32;20;25;56,38723406;0,801659659;7,018159346
200;32;20;30;60,08397155;1,233207259;6,866232343
200;32;20;35;85,61486389;0,630707527;6,634191666
200;32;20;40;92,94619844;0,996312269;7,307906852
200;32;20;45;84,53254512;0,510705426;6,840326189
200;32;20;50;52,65362982;0,534682756;7,516503573
200;32;35;5;69,87760956;0,526593695;7,344718625
200;32;35;10;57,95093944;0,997904016;6,987048653
200;32;35;15;68,90115248;0,712494452;7,01954727
200;32;35;20;50,45457753;1,17592734;7,045059818
200;32;35;25;62,50893662;0,611813493;7,05421066
200;32;35;30;70,7038151;0,445627572;7,156998858
200;32;35;35;87,34354032;1,016063221;7,266079995
200;32;35;40;53,6128773;0,74253057;7,201893623
200;32;35;45;67,90030594;0,856094845;7,162367695
200;32;35;50;35,72583555;0,920868338;7,658319674
200;40;5;5;40,8356337;0,750957119;8,052864617
200;40;5;10;18,56753433;0,315354185;7,57688376
200;40;5;15;44,5304206;1,040382713;7,731365353
200;40;5;20;38,89156724;0,690948383;8,443016847
200;40;5;25;15,64660318;0,972415164;8,33064547
200;40;5;30;33,64631571;0,695773489;8,13536374
200;40;5;35;44,26991754;0,577876742;7,884656058
200;40;5;40;41,71983665;0,77564633;8,310171734
200;40;5;45;44,49268918;1,227915769;8,008471309
200;40;5;50;34,32460365;0,939942309;7,902982358
200;40;20;5;7,596465862;1,070709765;8,458301918
200;40;20;10;29,22173243;0,783809324;8,310005366
200;40;20;15;18,23181113;1,232422668;8,403140769
200;40;20;20;48,4592174;1,278668302;8,115904031
200;40;20;25;20,51113577;0,861801388;7,694913991
200;40;20;30;44,48981216;0,518617787;8,129782678
200;40;20;35;24,3299942;0,490990369;7,713471262
200;40;20;40;11,35795248;1,249959574;7,593618107
200;40;20;45;46,87810175;0,873946317;8,254362317
200;40;20;50;43,44555083;1,230304335;8,538640096
200;40;35;5;1,747410201;0,53308988;7,963051046
200;40;35;10;27,98709948;0,33002169;8,166820482
200;40;35;15;23,43274966;0,692197127;7,901634064
200;40;35;20;5,70700404;1,154849913;8,28596785
200;40;35;25;5,786182157;0,709395561;8,048421423
200;40;35;30;27,10240149;0,989043699;7,8824832
200;40;35;35;23,4484714;0,412369541;7,577471054
200;40;35;40;9,967676841;0,759987796;8,05812877
200;40;35;45;39,29226078;0,408924935;8,304189833
200;40;35;50;2,764191575;0,973194252;8,514918372
